simulation_id,beta_A,tG_A,rho_A,eta_A,coef_A,beta_B,tG_B,rho_B,eta_B,coef_B,n0_A,n0_B,seed,status,status_info,final_timestep,final_cell_count_A,final_cell_count_B,num_divisions_A,num_divisions_B,num_deaths_A,num_deaths_B
23821,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47643,3,,80.02794942483223,0,9,0,76,0,167
23822,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47645,3,,81.10694313831576,0,10,0,77,0,167
23823,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47647,3,,81.09126042113257,0,9,0,84,0,175
23824,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47649,3,,95.31339487282459,0,10,0,92,0,182
23825,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47651,3,,99.75124561777079,0,9,0,90,0,181
23826,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47653,3,,76.03934554887857,0,9,0,80,0,171
23827,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47655,3,,74.47822005345536,0,10,0,79,0,169
23828,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47657,3,,84.12173049173069,0,9,0,89,0,180
23829,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47659,3,,73.08541576946342,0,9,0,81,0,172
23830,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47661,3,,83.00478639520742,0,10,0,82,0,172
23831,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47663,3,,81.61232661483959,0,10,0,87,0,177
23832,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47665,3,,82.52805214381598,0,10,0,82,0,172
23833,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47667,3,,79.44247492340742,0,10,0,83,0,173
23834,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47669,3,,81.53695024150218,0,9,0,82,0,173
23835,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47671,3,,79.9715810421925,0,9,0,76,0,167
23836,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47673,3,,95.28668512736219,0,9,0,87,0,178
23837,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47675,3,,77.58604428045972,0,10,0,81,0,171
23838,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47677,3,,85.23808946175731,0,9,0,84,0,175
23839,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47679,3,,92.96521424960997,0,10,0,90,0,180
23840,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47681,3,,94.91617048728212,0,9,0,93,0,184
23841,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47683,3,,95.90428664891232,0,10,0,88,0,178
23842,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47685,3,,71.80678267775868,0,10,0,78,0,168
23843,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47687,3,,92.9117370611782,0,10,0,86,0,176
23844,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47689,3,,79.86727386892983,0,9,0,78,0,169
23845,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47691,3,,97.18211962171614,0,10,0,86,0,176
23846,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47693,3,,97.33953596890149,0,9,0,90,0,181
23847,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47695,3,,97.81033245909671,0,9,0,89,0,180
23848,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47697,3,,83.81680681501012,0,9,0,79,0,170
23849,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47699,3,,81.77858880317595,0,10,0,82,0,172
23850,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47701,3,,87.30168708712809,0,9,0,79,0,170
23851,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47703,3,,72.46834564048055,0,9,0,80,0,171
23852,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47705,3,,93.67463648557398,0,10,0,84,0,174
23853,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47707,3,,71.11487662160549,0,10,0,75,0,165
23854,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47709,3,,92.35162025063329,0,10,0,84,0,174
23855,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47711,3,,70.65006965823407,0,10,0,71,0,161
23856,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47713,3,,94.97384683995868,0,10,0,77,0,167
23857,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47715,3,,93.54635343991808,0,10,0,82,0,172
23858,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47717,3,,75.02558147429937,0,10,0,79,0,169
23859,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47719,3,,77.5235368680501,0,9,0,79,0,170
23860,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47721,3,,92.61486331156738,0,10,0,82,0,172
23861,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47723,3,,98.18221186655406,0,10,0,83,0,173
23862,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47725,3,,72.61450792310688,0,10,0,79,0,169
23863,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47727,3,,95.21476783734552,0,9,0,88,0,179
23864,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47729,3,,76.51253217873895,0,10,0,78,0,168
23865,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47731,3,,94.14030133758042,0,10,0,84,0,174
23866,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47733,3,,76.36663188523062,0,10,0,72,0,162
23867,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47735,3,,74.0414573071611,0,10,0,75,0,165
23868,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47737,3,,76.56099626224415,0,10,0,75,0,165
23869,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47739,3,,91.27348929894596,0,10,0,91,0,181
23870,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47741,3,,77.42517008161113,0,9,0,83,0,174
23871,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47743,3,,96.84314069125166,0,10,0,80,0,170
