simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
487,43.12640265585435,1071,2.0,1000,428.7258990756401,128,1064,974,2
488,42.14159458439523,1129,2.0,1000,436.62305920250435,147,1083,976,2
489,41.35292074770304,1040,2.0,1000,429.377795075103,125,1061,978,2
490,43.91766871926604,1155,2.0,1000,462.6188746140256,170,1106,980,2
491,43.70386385965336,1103,2.0,1000,460.41844773442045,141,1077,982,2
492,42.41808956083079,1091,2.0,1000,425.51661180388527,123,1059,984,2
493,46.47384830788205,1236,2.0,1000,477.81869462111473,199,1135,986,2
494,43.412553165603036,1106,2.0,1000,461.3770499892088,154,1090,988,2
495,42.52413882522633,1136,2.0,1000,451.49784813046165,158,1094,990,2
496,43.180813709242564,1109,2.0,1000,445.9390552975129,160,1096,992,2
497,43.95944061278014,1147,2.0,1000,443.70490068545166,160,1096,994,2
498,41.73229666570049,1059,2.0,1000,433.979379623606,131,1067,996,2
499,43.65164100570665,1090,2.0,1000,444.8010002702159,145,1081,998,2
500,44.27205037980457,870,2.4,1000,416.3922062002631,79,1015,1000,2
501,43.2267662007471,798,2.4,1000,407.35169052785875,58,994,1002,2
502,43.422499720179104,817,2.4,1000,404.4119847963314,56,992,1004,2
503,44.276268131098504,873,2.4,1000,416.5329179630118,81,1017,1006,2
504,43.36794030431319,857,2.4,1000,413.7383025647513,72,1008,1008,2
505,44.208406594383355,877,2.4,1000,411.1758143325725,70,1006,1010,2
506,47.20434205876605,889,2.4,1000,423.62526727866214,91,1027,1012,2
507,44.89057410927915,845,2.4,1000,430.5920328608789,73,1009,1014,2
508,47.382570860953905,873,2.4,1000,434.98312021077743,93,1029,1016,2
509,46.28106530616352,883,2.4,1000,422.90358400383093,88,1024,1018,2
510,45.418194675327044,871,2.4,1000,417.07905803038875,73,1009,1020,2
511,44.54507167660053,876,2.4,1000,423.0979693887098,80,1016,1022,2
512,47.676611220093136,865,2.4,1000,433.3663324093808,76,1012,1024,2
513,44.760794781886865,861,2.4,1000,431.80769779822185,72,1008,1026,2
514,45.045364247877416,884,2.4,1000,428.45928903753963,93,1029,1028,2
515,46.54924873742893,878,2.4,1000,419.6848551432269,89,1025,1030,2
516,46.26087092320612,888,2.4,1000,419.8377492835463,79,1015,1032,2
517,46.37132757584452,869,2.4,1000,413.64947830623737,80,1016,1034,2
