,t,G1_cell_count,G2_cell_count
156,94.80458963136778,9,29
157,94.8820162076319,8,29
158,95.12060527253824,6,29
159,95.19089953874406,4,29
160,95.32820489712758,3,29
161,95.54322921580449,2,29
162,95.56977376888727,0,29
163,111.12388632076309,2,28
164,113.23584746630553,4,27
165,114.17046832679253,6,26
166,115.96095216962235,8,25
167,120.59200522584368,6,25
168,121.14976657749474,8,24
169,121.23377245091078,10,23
170,123.33366388401438,8,23
171,123.95090206779798,10,22
172,123.97611982475456,12,21
173,124.50952380320588,10,21
174,125.75103707656416,12,20
175,126.67115211463104,14,19
176,126.73686029094956,12,19
177,127.14157308997244,14,18
178,129.1811157324347,16,17
179,130.01068661377508,18,16
180,130.30815869647924,20,15
181,131.2038148107932,22,14
182,131.54550897865988,24,13
183,134.7228075082149,26,12
184,134.7577675286791,28,11
185,135.19757086949767,30,10
186,135.76560917634134,32,9
187,135.87929073285008,34,8
188,136.2290580696073,32,8
189,136.5461124950807,30,8
190,137.3344824578826,32,7
191,137.3497231332339,34,6
192,137.86639706065932,36,5
193,138.21012797523815,38,4
194,140.83430089183318,40,3
195,141.0869692743246,42,2
196,141.30969950056237,44,1
197,143.7935018077157,46,0
198,152.31341518982725,45,1
199,153.6710472496884,44,2
200,156.51969854002857,43,3
201,157.483217999465,42,4
202,157.62182298298308,41,5
203,158.29386992409394,40,6
204,159.8210233830493,39,7
205,163.1498535518483,38,8
206,164.4559420520099,37,9
207,164.8773565279112,36,9
208,164.9648503943412,34,9
209,166.1051704016017,33,10
210,170.19912613434704,32,10
211,170.55006278216337,31,11
212,170.5554367663886,30,12
213,172.03786241741273,29,13
214,172.26716539406286,28,13
215,174.24414465496432,27,14
216,175.06569661985444,26,15
217,176.53108716605024,25,15
218,178.16496375090225,24,16
219,179.02215145786093,23,16
220,179.34676091733428,22,16
221,182.00002583524395,21,16
222,182.0255372015286,19,16
223,182.03397377161065,18,17
224,182.28065645714665,17,17
225,182.42798651882697,16,18
226,182.5558680150725,15,18
227,182.60134063767597,13,18
228,183.1122572270254,11,18
229,183.2359056882896,9,18
230,183.297968214533,7,18
231,183.63932404108195,6,18
232,183.66238504424584,4,18
233,183.67447118055333,2,18
234,183.73405734701282,0,18
235,202.31341518982725,2,17
236,203.6710472496884,4,16
237,206.51969854002857,6,15
238,207.483217999465,8,14
239,207.62182298298308,10,13
240,208.29386992409394,12,12
241,209.8210233830493,14,11
242,213.1498535518483,16,10
243,214.4559420520099,18,9
244,215.212372156102,16,9
245,216.1051704016017,18,8
246,219.06582263433026,16,8
247,220.55006278216337,18,7
248,220.5554367663886,20,6
249,222.03786241741273,22,5
250,224.24414465496432,24,4
251,225.06569661985444,26,3
252,228.16496375090225,28,2
253,232.03397377161065,30,1
254,232.42798651882697,32,0
255,238.3830296886008,31,1
256,242.52533518823728,30,2
257,245.68263573108462,29,3
258,245.991755819883,28,3
259,249.09089286831693,27,4
260,251.89992710520295,26,5
261,252.68347498817002,24,5
262,253.60759269138492,23,6
263,254.69071495813276,21,6
264,258.1434097349014,19,6
265,259.66926938124044,18,7
266,260.3477542521457,17,8
267,264.36936316692595,16,9
268,264.71138074089566,15,9
269,266.23612876696563,13,9
270,267.3236576191142,12,10
271,267.5157786540474,11,11
272,269.24559858881855,9,11
273,269.248305936932,7,11
274,270.45386433991285,6,11
275,270.63089910675785,5,11
276,271.08371410967067,3,11
277,271.3990566191955,2,11
278,271.41338435545794,0,11
279,288.3830296886008,2,10
280,292.52533518823725,4,9
281,295.6826357310846,6,8
282,298.7153607518446,4,8
283,299.0908928683169,6,7
284,301.89992710520295,8,6
285,303.6075926913849,10,5
286,306.5920044813324,8,5
287,309.66926938124044,10,4
288,310.3477542521457,12,3
289,314.36936316692595,14,2
290,314.48369154914485,12,2
291,317.3236576191142,14,1
292,317.5157786540474,16,0
293,338.33043969685787,15,1
294,343.4372784136732,14,2
295,348.284854555812,13,3
296,349.3315551676544,12,4
297,351.17890370477943,10,4
298,354.6927714027641,9,5
299,355.4897988742612,8,6
300,357.74100359604785,7,6
301,358.40899235273633,6,7
302,361.8616678101708,4,7
303,362.159902918261,3,7
304,inf,3,7
