,t,G1_cell_count,G2_cell_count
4440,4922.215633234052,2,17
4441,4922.244435860367,4,16
4442,4922.9189134568005,6,15
4443,4927.28608898557,8,14
4444,4927.882045231113,10,13
4445,4928.776135152222,12,12
4446,4934.18591997367,14,11
4447,4940.9957803535945,16,10
4448,4941.371209254695,14,10
4449,4941.841630841559,16,9
4450,4942.123011095478,18,8
4451,4944.388047620657,20,7
4452,4944.767992265246,18,7
4453,4945.79930910678,20,6
4454,4946.912560725077,18,6
4455,4948.554082615331,20,5
4456,4951.319806672021,22,4
4457,4952.665787218535,24,3
4458,4953.617207361506,26,2
4459,4953.931648980817,28,1
4460,4956.002994358644,30,0
4461,4958.274310641968,29,1
4462,4961.213261374079,28,2
4463,4961.58419975265,27,3
4464,4967.965553047944,26,4
4465,4969.757246540304,25,5
4466,4974.480569845121,24,5
4467,4976.705473161814,23,5
4468,4978.613554554934,22,6
4469,4979.310381038872,21,7
4470,4979.388014241381,20,7
4471,4979.904475380877,19,8
4472,4980.257745512648,18,9
4473,4984.49687268866,17,10
4474,4984.588413329027,16,11
4475,4986.363426261745,15,12
4476,4986.742126039777,14,13
4477,4989.639054640126,13,14
4478,4991.618855098593,12,15
4479,4992.9241874652225,11,15
4480,4993.515358607162,9,15
4481,4994.788530174853,8,15
4482,4995.37973402527,6,15
4483,4996.306938678866,5,15
4484,4996.53899194647,4,16
4485,4997.005670615866,3,16
4486,4997.247947114239,2,16
4487,4997.389335284497,1,16
4488,4997.463311905134,0,16
4489,5008.274310641968,2,15
4490,5011.213261374079,4,14
4491,5011.58419975265,6,13
4492,5017.965553047944,8,12
4493,5019.757246540304,10,11
4494,5025.573435588153,8,11
4495,5028.613554554934,10,10
4496,5029.310381038872,12,9
4497,5029.904475380877,14,8
4498,5030.257745512648,16,7
4499,5030.662367937807,14,7
4500,5031.535164122682,12,7
4501,5034.49687268866,14,6
4502,5034.588413329027,16,5
4503,5036.363426261745,18,4
4504,5036.742126039777,20,3
4505,5039.639054640126,22,2
4506,5041.618855098593,24,1
